Suburb,Sale_Price,Bedrooms,Bathrooms,Parking,Property_Type,Floor_Area_m2,Sale_Date,Address,Source
Parramatta,660000,2,2,1,Apartment,NA,16 Jul 2026,"804/140 Church Street, Parramatta",realestate.com.au
Parramatta,660000,2,2,1,Apartment,115,16 Jul 2026,"102/2-4 Amos Street, Parramatta",realestate.com.au
Parramatta,3425000,12,6,6,Block of units,903.4,15 Jul 2026,"37A Sutherland Road, Parramatta",realestate.com.au
Parramatta,832000,2,2,1,Apartment,103,11 Jul 2026,"2940/180 George Street, Parramatta",realestate.com.au
Parramatta,760067,2,2,1,Apartment,NA,10 Jul 2026,"2207/45 Macquarie Street, Parramatta",realestate.com.au
Parramatta,680000,2,2,1,Apartment,NA,10 Jul 2026,"7203/1A Morton Street, Parramatta",realestate.com.au
Parramatta,850000,2,2,1,Villa,NA,07 Jul 2026,"6/50 Morton Street, Parramatta",realestate.com.au
Parramatta,565000,2,2,1,Apartment,NA,06 Jul 2026,"103/6 River Road West, Parramatta",realestate.com.au
Parramatta,550000,1,1,1,Apartment,NA,03 Jul 2026,"1003/330 Church Street, Parramatta",realestate.com.au
Parramatta,800000,3,2,2,Apartment,149,23 Jul 2026,"27/9-11 Cowper Street, Parramatta",realestate.com.au
Parramatta,880000,2,2,1,Apartment,NA,22 Jul 2026,"2436/180 George Street, Parramatta",realestate.com.au
Parramatta,615000,2,1,1,Apartment,NA,22 Jul 2026,"10/15-17 Queens Avenue, Parramatta",realestate.com.au
Parramatta,532000,2,1,2,Apartment,136,22 Jul 2026,"12/128 Macquarie Street, Parramatta",realestate.com.au
Parramatta,825000,3,2,1,Apartment,192,21 Jul 2026,"44/20-24 Sorrell Street, Parramatta",realestate.com.au
Parramatta,665000,3,2,1,Apartment,NA,21 Jul 2026,"42/21 Sorrell Street, Parramatta",realestate.com.au
Parramatta,350000,1,1,NA,Apartment,54,21 Jul 2026,"1/32 Hassall Street, Parramatta",realestate.com.au
Parramatta,580000,2,2,1,Apartment,NA,20 Jul 2026,"35/26-30 Hassall Street, Parramatta",realestate.com.au
Parramatta,530000,2,1,1,Unit,97,17 Jul 2026,"11/27-29 Early Street, Parramatta",realestate.com.au
Parramatta,432000,1,1,1,Unit,NA,03 Aug 2026,"412/31 Hassall Street, Parramatta",realestate.com.au
Parramatta,805000,3,2,2,Apartment,157,31 Jul 2026,"1/6 Sorrell St, Parramatta",realestate.com.au
Parramatta,695000,3,1,1,Apartment,NA,31 Jul 2026,"12/37 Fennell Street, Parramatta",realestate.com.au
Parramatta,626000,2,1,1,Apartment,NA,30 Jul 2026,"16/18 Thomas St, Parramatta",realestate.com.au
Parramatta,580000,2,1,1,Apartment,NA,30 Jul 2026,"4/13 Henry Street, Parramatta",realestate.com.au
Parramatta,555000,2,2,1,Apartment,NA,29 Jul 2026,"907/29 Hunter Street, Parramatta",realestate.com.au
Parramatta,625000,2,2,1,Apartment,NA,28 Jul 2026,"34/105-107 Church Street, Parramatta",realestate.com.au
Parramatta,740000,2,2,1,Apartment,NA,25 Jul 2026,"1330K/2 Morton Street, Parramatta",realestate.com.au
Parramatta,650000,2,1,1,Apartment,112,25 Jul 2026,"15/7-11 Elizabeth Street, Parramatta",realestate.com.au
Parramatta,500000,2,2,1,Apartment,NA,25 Jul 2026,"28/24 Campbell Street, Parramatta",realestate.com.au
Parramatta,657000,2,2,1,Unit,145,11 Aug 2026,"3/11 O'Reilly Street, Parramatta",realestate.com.au
Parramatta,635000,2,2,1,Apartment,127,07 Aug 2026,"1001/1A Morton Street, Parramatta",realestate.com.au
Parramatta,435000,1,1,1,Apartment,NA,07 Aug 2026,"5/13 Queens Avenue, Parramatta",realestate.com.au
Parramatta,400000,1,1,1,Unit,81,07 Aug 2026,"902/22 Charles Street, Parramatta",realestate.com.au
Parramatta,588000,2,1,1,Apartment,150,04 Aug 2026,"2/15-19 Early Street, Parramatta",realestate.com.au
Parramatta,497000,1,1,NA,Apartment,NA,03 Aug 2026,"214/354-366 Church Street, Parramatta",realestate.com.au
Parramatta,200000,1,1,NA,Studio,NA,23 Aug 2026,"230/1 Valentine Avenue, Parramatta",realestate.com.au
Parramatta,800000,2,2,1,Apartment,NA,21 Aug 2026,"1502/88 Church Street, Parramatta",realestate.com.au
Parramatta,600000,1,1,1,Apartment,72,21 Aug 2026,"219/88 Church Street, Parramatta",realestate.com.au
Parramatta,550000,2,2,1,Apartment,NA,21 Aug 2026,"401/8 River Road, Parramatta",realestate.com.au
Parramatta,640000,2,2,1,Apartment,122,13 Aug 2026,"53/20 Victoria Road, Parramatta",realestate.com.au
Parramatta,780000,2,1,1,Townhouse,251,12 Aug 2026,"2/1-7 Bobart Street, Parramatta",realestate.com.au
Parramatta,705000,2,2,1,Apartment,NA,04 Sep 2026,"1702/45 Macquarie Street, Parramatta",realestate.com.au
Parramatta,580000,2,2,1,Apartment,136,04 Sep 2026,"89/459-463 Church Street, Parramatta",realestate.com.au
Parramatta,546000,2,1,1,Unit,123,01 Sep 2026,"1/18 Early Street, Parramatta",realestate.com.au
Parramatta,490000,1,1,NA,Apartment,93,01 Sep 2026,"9/178 George Street, Parramatta",realestate.com.au
Parramatta,569000,2,1,1,Unit,104,31 Aug 2026,"3/23 Good Street, Parramatta",realestate.com.au
Parramatta,540000,2,2,1,Apartment,NA,30 Aug 2026,"401/6 River Road West, Parramatta",realestate.com.au
Parramatta,590000,2,2,1,Apartment,NA,28 Aug 2026,"11/32 Hassall Street, Parramatta",realestate.com.au
Parramatta,552000,2,2,1,Unit,NA,27 Aug 2026,"C26/88-98 Marsden Street, Parramatta",realestate.com.au
Parramatta,720000,3,2,1,Apartment,189,25 Aug 2026,"907/6-10 Charles Street, Parramatta",realestate.com.au
Parramatta,560000,1,1,1,Apartment,76,25 Aug 2026,"1417/32 Hunter Street (AKA 1417/45 Macquarie St), Parramatta",realestate.com.au
Liverpool,590000,2,2,1,Apartment,NA,16 Jul 2026,"4/12 George Street, Liverpool",realestate.com.au
Liverpool,1270000,4,1,3,House,652,14 Jul 2026,"19 Pearce Street, Liverpool",realestate.com.au
Liverpool,600000,2,2,1,Unit,NA,14 Jul 2026,"Unit 203, 311 Hume Highway, Liverpool",realestate.com.au
Liverpool,615000,2,2,1,Unit,NA,13 Jul 2026,"3006/420 Macquarie Street, Liverpool",realestate.com.au
Liverpool,525000,2,2,1,Unit,NA,09 Jul 2026,"10/4-6 Castlereagh Street, Liverpool",realestate.com.au
Liverpool,393000,2,1,1,Apartment,80.1,09 Jul 2026,"14/17-19 Speed Street, Liverpool",realestate.com.au
Liverpool,1083000,4,1,1,House,727,08 Jul 2026,"30 Danalam Street, Liverpool",realestate.com.au
Liverpool,738000,3,2,2,Apartment,NA,02 Jul 2026,"Unit 2903, 311 Hume Highway, Liverpool",realestate.com.au
Liverpool,550000,2,2,1,Unit,NA,24 Jul 2026,"504/21 Atkinson Street, Liverpool",realestate.com.au
Liverpool,515000,2,2,1,Apartment,NA,22 Jul 2026,"48/93-95 Campbell Street, Liverpool",realestate.com.au
Liverpool,550000,2,2,2,Unit,NA,21 Jul 2026,"7/74-76 Castlereagh Street, Liverpool",realestate.com.au
Liverpool,407000,2,1,1,Unit,NA,21 Jul 2026,"13/58 Copeland Street, Liverpool",realestate.com.au
Liverpool,380000,2,1,1,Unit,NA,21 Jul 2026,"28/42-44 Copeland Street, Liverpool",realestate.com.au
Liverpool,360000,1,1,1,Unit,NA,21 Jul 2026,"24/81 Memorial Avenue, Liverpool",realestate.com.au
Liverpool,350000,1,1,1,Unit,NA,20 Jul 2026,"19/2 Beale Street, Liverpool",realestate.com.au
Liverpool,460000,2,1,1,Apartment,NA,18 Jul 2026,"41/7-9 Atkinson Street, Liverpool",realestate.com.au
Liverpool,415000,2,1,1,Unit,NA,17 Jul 2026,"12/32 Nagle Street, Liverpool",realestate.com.au
Liverpool,460000,2,1,1,Apartment,NA,31 Jul 2026,"12/119-121 Castlereagh Street, Liverpool",realestate.com.au
Liverpool,415000,2,1,1,Unit,NA,31 Jul 2026,"15/13 Speed Street, Liverpool",realestate.com.au
Liverpool,340000,1,1,1,Apartment,NA,31 Jul 2026,"11/26 Goulburn Street, Liverpool",realestate.com.au
Liverpool,425000,1,1,1,Apartment,NA,29 Jul 2026,"31/32 Castlereagh Street, Liverpool",realestate.com.au
Liverpool,375000,2,1,1,Apartment,NA,29 Jul 2026,"26/42 Copeland Street, Liverpool",realestate.com.au
Liverpool,976000,3,1,2,House,450,25 Jul 2026,"9 Anastasio Road, Liverpool",realestate.com.au
Liverpool,600000,2,2,1,Apartment,98,24 Jul 2026,"1805/311 Hume Highway, Liverpool",realestate.com.au
Liverpool,625000,2,2,1,Apartment,NA,11 Aug 2026,"2508/311 Hume Highway, Liverpool",realestate.com.au
Liverpool,412000,2,1,1,Apartment,NA,11 Aug 2026,"1/58-60 Copeland Street, Liverpool",realestate.com.au
Liverpool,962000,4,3,1,Townhouse,241,10 Aug 2026,"1/10 Tobruk Avenue, Liverpool",realestate.com.au
Liverpool,480000,1,1,1,Unit,76,10 Aug 2026,"1610/32 Shepherd Street, Liverpool",realestate.com.au
Liverpool,420000,2,1,1,Apartment,77,10 Aug 2026,"8/22 Nagle Street, Liverpool",realestate.com.au
Liverpool,385000,2,1,1,Apartment,79,10 Aug 2026,"32/17-19 Speed Street, Liverpool",realestate.com.au
Liverpool,730000,3,2,1,Unit,NA,07 Aug 2026,"Unit 5/33-35 Bathurst Street, Liverpool",realestate.com.au
Liverpool,560000,2,2,1,Apartment,NA,06 Aug 2026,"G02/15 Bigge Street, Liverpool",realestate.com.au
Liverpool,505000,2,1,1,Apartment,NA,06 Aug 2026,"3/62 Castlereagh Street, Liverpool",realestate.com.au
Liverpool,410000,2,1,1,Unit,68,06 Aug 2026,"4/26 Speed Street, Liverpool",realestate.com.au
Liverpool,960000,3,1,1,House,557.4,03 Aug 2026,"45 Birkdale Crescent, Liverpool",realestate.com.au
Liverpool,748000,3,2,2,Apartment,NA,03 Aug 2026,"1903/311 Hume Highway, Liverpool",realestate.com.au
Liverpool,535000,1,1,1,Unit,NA,03 Aug 2026,"Unit 2802, 311 Hume Highway, Liverpool",realestate.com.au
Liverpool,539000,2,2,1,Apartment,NA,24 Aug 2026,"1303/30 Shepherd Street, Liverpool",realestate.com.au
Liverpool,385000,2,1,1,Apartment,NA,24 Aug 2026,"2/30 Speed Street, Liverpool",realestate.com.au
Liverpool,935000,3,1,1,House,171,22 Aug 2026,"8 Angelo Avenue, Liverpool",realestate.com.au
Liverpool,430000,2,1,1,Unit,NA,21 Aug 2026,"10/50 Castlereagh Street, Liverpool",realestate.com.au
Liverpool,570000,2,2,1,Unit,NA,19 Aug 2026,"66/387 Macquarie Street, Liverpool",realestate.com.au
Liverpool,431000,1,1,1,Apartment,NA,19 Aug 2026,"40/387 Macquarie Street, Liverpool",realestate.com.au
Liverpool,555000,2,2,1,Apartment,112,13 Aug 2026,"B601/17 Shepherd Street, Liverpool",realestate.com.au
Liverpool,450000,2,1,1,Apartment,102,13 Aug 2026,"20/8 Beale Street, Liverpool",realestate.com.au
